Award Date,Award Amount,Recipient Name,Awarding Agency,Award Type,State,NAICS Code,Description
2024-01-15,2500000,Tech Solutions Inc,Department of Defense,Contract,VA,541511,Software Development Services
2024-01-18,1850000,Global Construction Group,General Services Administration,Contract,CA,236220,Building Renovation Project
2024-01-22,3200000,Medical Research Labs,National Institutes of Health,Grant,MD,541712,Biomedical Research Study
2024-01-25,950000,Cybersecurity Systems LLC,Department of Homeland Security,Contract,TX,541519,Network Security Assessment
2024-02-01,4200000,Transportation Services Co,Department of Transportation,Contract,FL,485111,Fleet Vehicle Maintenance
2024-02-05,1650000,Environmental Solutions Inc,Environmental Protection Agency,Grant,WA,562910,Water Quality Monitoring Program
2024-02-08,2800000,Aerospace Technologies,NASA,Contract,AL,336411,Satellite Component Development
2024-02-12,1100000,Education Services Group,Department of Education,Grant,NY,611710,STEM Education Initiative
2024-02-15,3750000,Energy Systems Corp,Department of Energy,Contract,CO,221112,Renewable Energy Research
2024-02-18,2200000,Healthcare Innovations,Department of Veterans Affairs,Contract,NC,621111,Medical Equipment Procurement
2024-02-22,850000,Data Analytics Firm,Census Bureau,Contract,MA,541511,Data Processing Services
2024-02-25,1950000,Agricultural Research Center,Department of Agriculture,Grant,IA,541712,Crop Yield Research
2024-03-01,3100000,Defense Contractors Inc,Department of Defense,Contract,AZ,336414,Military Vehicle Parts
2024-03-05,1400000,Public Safety Systems,Department of Justice,Grant,IL,541519,Law Enforcement Technology
2024-03-08,2650000,Infrastructure Builders,Department of Transportation,Contract,PA,237310,Highway Construction Project
2024-03-12,1750000,Marine Research Institute,National Oceanic and Atmospheric Administration,Grant,OR,541712,Oceanographic Study
2024-03-15,4800000,IT Services Corporation,General Services Administration,Contract,GA,541511,Enterprise IT Support
2024-03-18,920000,Social Services Network,Department of Health and Human Services,Grant,MI,624190,Community Health Program
2024-03-22,2100000,Telecommunications Systems,Federal Communications Commission,Contract,NJ,517311,Network Infrastructure Upgrade
2024-03-25,1350000,Wildlife Conservation Org,Department of Interior,Grant,MT,813312,Wildlife Habitat Restoration
2024-03-28,3400000,Aviation Services Group,Federal Aviation Administration,Contract,OK,488190,Airport Security Systems
2024-04-01,1550000,Food Safety Labs,Food and Drug Administration,Grant,MN,541712,Food Safety Testing Program
2024-04-05,2900000,Engineering Consultants,Army Corps of Engineers,Contract,LA,541330,Flood Control Project Design
2024-04-08,1180000,Rural Development Corp,Department of Agriculture,Grant,ND,541611,Rural Economic Development
2024-04-12,4100000,Space Systems Engineering,NASA,Contract,CA,336414,Spacecraft Propulsion System
2024-04-15,2250000,Emergency Response Services,Federal Emergency Management Agency,Grant,FL,624230,Disaster Preparedness Training
2024-04-18,1680000,Financial Services Tech,Department of Treasury,Contract,DC,541511,Financial System Modernization
2024-04-22,980000,Mental Health Services,Substance Abuse and Mental Health Services Administration,Grant,VT,621420,Mental Health Outreach Program
2024-04-25,2750000,Border Security Systems,Customs and Border Protection,Contract,TX,541519,Surveillance Technology
2024-04-28,1420000,Urban Planning Institute,Department of Housing and Urban Development,Grant,OH,541611,Urban Development Study
